Yahoo Symbol,Company Name,BSE Code
506180.BO,Emergent Industrial Solutions Ltd,506180
KANANIIND.NS,Kanani Industries Ltd,506184
506186.BO,Galaxy Cloud Kitchens Ltd,506186
506190.BO,Sarvamangal Mercantile Company Ltd,506190
ARIHANTSUP.NS,Arihant Superstructures Ltd,506194
BLISSGVS.NS,Bliss GVS Pharma Ltd,506197
STYRENIX.NS,Styrenix Performance Materials Ltd,506222
ALEMBICLTD.NS,Alembic Ltd,506235
AMNPLST.NS,Amines & Plasticizers Ltd,506248
ANUHPHR.NS,Anuh Pharma Ltd,506260
MODISONLTD.NS,Modison Ltd,506261
BAYERCROP.NS,Bayer CropScience Ltd,506285
506313.BO,Sashwat Technocrats Ltd,506313
506365.BO,Chemo Pharma Laboratories Ltd,506365
HEUBACHIND.NS,Heubach Colorants India Ltd,506390
COROMANDEL.NS,Coromandel International Ltd,506395
DEEPAKNTR.NS,Deepak Nitrite Ltd,506401
DMCC.NS,DMCC Speciality Chemicals Ltd,506405
506414.BO,Fermenta Biotech Ltd,506414
GOCLCORP.NS,GOCL Corporation Ltd,506480
506520.BO,Jayshree Chemicals Ltd,506520
KANORICHEM.NS,Kanoria Chemicals & Industries Ltd,506525
506528.BO,KELTECH Energies Ltd,506528
506530.BO,Kemp & Company Ltd,506530
506532.BO,Nitta Gelatin India Ltd,506532
506543.BO,MP Agro Industries Ltd,506543
506579.BO,Oriental Carbon & Chemicals Ltd,506579
PCBL.NS,PCBL Chemical Ltd,506590
506597.BO,Amal Ltd,506597
506605.BO,Polychem Ltd,506605
PUNJABCHEM.NS,Punjab Chemicals & Crop Protection Ltd,506618
506640.BO,ZR2 Bioenergy Ltd,506640
506642.BO,Sadhana Nitro Chem Ltd,506642
SUDARSCHEM.NS,Sudarshan Chemical Industries Ltd,506655
506680.BO,Tecil Chemicals & Hydro Power Ltd,506680
506685.BO,Ultramarine & Pigments Ltd,506685
506687.BO,Transpek Industry Ltd,506687
UNICHEMLAB.NS,Unichem Laboratories Ltd,506690
506734.BO,Mysore Petro Chemicals Ltd,506734
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd,506767
506808.BO,Tuticorin Alkali Chemicals And Fertilizers Ltd,506808
ASTRAZEN.NS,AstraZeneca Pharma India Ltd,506820
PRIMO.NS,Primo Chemicals Ltd,506852
506854.BO,TANFAC Industries Ltd,506854
506858.BO,Gujarat Petrosynthese Ltd,506858
506863.BO,Swadeshi Industries & Leasing Ltd,506863
GUJTHEM.NS,Gujarat Themis Biosyn Ltd,506879
506919.BO,Makers Laboratories Ltd,506919
506935.BO,Continental Chemicals Ltd,506935
JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Ltd,506943
